id,Dorsal,Nombre,Apellido,Team,Posicion,OPS,%_On_Base,Slugging,Fecha Nac,Edad,F_Debut,Lugar_Nacimiento,Pais,Peso,Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Juegos_Jugados,Turnos_Bate,Carrera,Hits,Dobles,Triple,Jonrones,Carreras_Impulsadas,Boletos,Ponches,Bases_Robadas,Atrapado_Robando,Promedio,Link_Ficha_Player,IMC
592450,99,Aaron,Judge,NYY,RF,1.111,0.425,0.686,1992-04-26,31,2016-08-13, CA,USA,127.91,2.01,R,R,157,570,133,177,28,0,62,131,111,175,16,3,0.311,https://www.mlb.com/es/player/592450,31.660107423083595
670541,44,Yordan,Alvarez,HOU,LF,1.0190000000000001,0.406,0.613,1997-06-27,25,2019-06-09, Cuba,Cuba,102.06,1.96,L,R,135,470,95,144,29,2,37,97,78,106,1,1,0.306,https://www.mlb.com/es/player/670541,26.56705539358601
502671,46,Paul,Goldschmidt,STL,1B,0.982,0.404,0.578,1987-09-10,35,2011-08-01, DE,USA,99.79,1.91,R,R,151,561,106,178,41,0,35,115,79,141,7,0,0.317,https://www.mlb.com/es/player/502671,27.35396507771169
514888,27,Jose,Altuve,HOU,2B,0.92,0.387,0.533,1990-05-06,33,2011-07-20, Venezuela,Venezuela,75.3,1.68,R,R,141,527,103,158,39,0,28,57,66,87,18,1,0.3,https://www.mlb.com/es/player/514888,26.679421768707485
518692,5,Freddie,Freeman,LAD,1B,0.9179999999999999,0.407,0.511,1989-09-12,33,2010-09-01, CA,USA,99.79,1.96,L,R,159,612,117,199,47,2,21,100,84,102,13,3,0.325,https://www.mlb.com/es/player/518692,25.976155768429823
592518,13,Manny,Machado,SD,3B,0.897,0.366,0.531,1992-07-06,30,2012-08-09, FL,USA,98.88,1.91,R,R,150,578,100,172,37,1,32,102,63,133,9,1,0.298,https://www.mlb.com/es/player/592518,27.104520161179792
571448,28,Nolan,Arenado,STL,3B,0.891,0.358,0.533,1991-04-16,32,2013-04-28, CA,USA,97.52,1.88,R,R,148,557,73,163,42,1,30,103,52,72,5,3,0.293,https://www.mlb.com/es/player/571448,27.591670439112722
646240,11,Rafael,Devers,BOS,3B,0.879,0.358,0.521,1996-10-24,26,2017-07-25, Dominican Republic,Dominican Republic,108.86,1.83,L,R,141,555,84,164,42,1,27,88,50,114,3,1,0.295,https://www.mlb.com/es/player/646240,32.506196064379346
663586,27,Austin,Riley,ATL,3B,0.877,0.349,0.528,1997-04-02,26,2019-05-15, TN,USA,108.86,1.91,R,R,159,615,90,168,39,2,38,93,57,168,2,0,0.273,https://www.mlb.com/es/player/663586,29.840190784243855
660271,17,Shohei,Ohtani,LAA,TWP,0.875,0.356,0.519,1994-07-05,28,2018-03-29, Japan,Japan,95.25,1.93,L,R,157,586,90,160,30,6,34,95,72,161,11,9,0.273,https://www.mlb.com/es/player/660271,25.571156272651617
605141,50,Mookie,Betts,LAD,RF,0.873,0.34,0.533,1992-10-07,30,2014-06-29, TN,USA,81.65,1.75,R,R,142,572,117,154,40,3,35,82,55,104,12,2,0.269,https://www.mlb.com/es/player/605141,26.66122448979592
624413,20,Pete,Alonso,NYM,1B,0.87,0.352,0.518,1994-12-07,28,2019-03-28, FL,USA,111.13,1.91,R,R,160,597,95,162,27,0,40,131,67,128,5,1,0.271,https://www.mlb.com/es/player/624413,30.462432499109124
608070,11,Jose,Ramirez,CLE,3B,0.869,0.355,0.514,1992-09-17,30,2013-09-01, Dominican Republic,Dominican Republic,86.18,1.75,S,R,157,601,90,168,44,5,29,126,69,82,20,7,0.28,https://www.mlb.com/es/player/608070,28.14040816326531
677594,44,Julio,Rodriguez,SEA,CF,0.854,0.345,0.509,2000-12-29,22,2022-04-08, Dominican Republic,Dominican Republic,103.42,1.91,R,R,132,511,84,145,25,3,28,75,40,145,25,7,0.284,https://www.mlb.com/es/player/677594,28.34900359091034
