id,Nombre,Apellido,Posicion,Dorsal,Equipo,Fecha Nac,Edad,F_Debut,Peso(Kg),Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Link_Ficha_Player
592450,Aaron,Judge,CF,99,Los Yankees de Nueva York, 4/26/1992,31, 8/13/2016,127.91,2.01,R,R,https://www.mlb.com/es/player/592450
670541,Yordan,Alvarez,LF,44,Los Astros de Houston, 6/27/1997,25, 6/09/2019,102.06,1.96,L,R,https://www.mlb.com/es/player/670541
502671,Paul,Goldschmidt,1B,46,Los Cardenales de San Luis, 9/10/1987,35, 8/01/2011,99.79,1.91,R,R,https://www.mlb.com/es/player/502671
514888,Jose,Altuve,2B,27,Los Astros de Houston, 5/06/1990,33, 7/20/2011,75.3,1.68,R,R,https://www.mlb.com/es/player/514888
518692,Freddie,Freeman,1B,5,Los Dodgers de Los Angeles, 9/12/1989,33, 9/01/2010,99.79,1.96,L,R,https://www.mlb.com/es/player/518692
592518,Manny,Machado,3B,13,Los Padres de San Diego, 7/06/1992,30, 8/09/2012,98.88,1.91,R,R,https://www.mlb.com/es/player/592518
571448,Nolan,Arenado,3B,28,Los Cardenales de San Luis, 4/16/1991,32, 4/28/2013,97.52,1.88,R,R,https://www.mlb.com/es/player/571448
646240,Rafael,Devers,3B,11,Los Red Sox de Boston, 10/24/1996,26, 7/25/2017,108.86,1.83,L,R,https://www.mlb.com/es/player/646240
663586,Austin,Riley,3B,27,Los Bravos de Atlanta, 4/02/1997,26, 5/15/2019,108.86,1.91,R,R,https://www.mlb.com/es/player/663586
660271,Shohei,Ohtani,TWP,17,Los Angels de Los Angeles, 7/05/1994,28, 3/29/2018,95.25,1.93,L,R,https://www.mlb.com/es/player/660271
605141,Mookie,Betts,RF,50,Los Dodgers de Los Angeles, 10/07/1992,30, 6/29/2014,81.65,1.75,R,R,https://www.mlb.com/es/player/605141
624413,Pete,Alonso,1B,20,Los Mets de Nueva York, 12/07/1994,28, 3/28/2019,111.13,1.91,R,R,https://www.mlb.com/es/player/624413
608070,Jose,Ramirez,3B,11,Los Guardians de Cleveland, 9/17/1992,30, 9/01/2013,86.18,1.75,S,R,https://www.mlb.com/es/player/608070
677594,Julio,Rodriguez,CF,44,Los Mariners de Seattle, 12/29/2000,22, 4/08/2022,103.42,1.91,R,R,https://www.mlb.com/es/player/677594
665742,Juan,Soto,LF,22,Los Padres de San Diego, 10/25/1998,24, 5/15/2018,101.6,1.88,L,L,https://www.mlb.com/es/player/665742
663993,Nathaniel,Lowe,1B,30,Los Rangers de Texas, 7/07/1995,27, 4/29/2019,99.79,1.93,L,R,https://www.mlb.com/es/player/663993
665926,Andres,Gimenez,2B,0,Los Guardians de Cleveland, 9/04/1998,24, 7/24/2020,73.03,1.55,L,R,https://www.mlb.com/es/player/665926
643446,Jeff,McNeil,2B,1,Los Mets de Nueva York, 4/08/1992,31, 7/24/2018,88.45,1.85,L,R,https://www.mlb.com/es/player/643446
593428,Xander,Bogaerts,SS,2,Los Padres de San Diego, 10/01/1992,30, 8/20/2013,98.88,1.88,R,R,https://www.mlb.com/es/player/593428
621043,Carlos,Correa,SS,4,Los Twins de Minnesota, 9/22/1994,28, 6/08/2015,99.79,1.93,R,R,https://www.mlb.com/es/player/621043
621493,Taylor,Ward,LF,3,Los Angels de Los Angeles, 12/14/1993,29, 8/14/2018,90.72,1.85,R,R,https://www.mlb.com/es/player/621493
656941,Kyle,Schwarber,DH,12,Los Phillies de Filadelfia, 3/05/1993,30, 6/16/2015,103.87,1.83,L,R,https://www.mlb.com/es/player/656941
547989,Jose,Abreu,1B,79,Los Astros de Houston, 1/29/1987,36, 3/31/2014,106.59,1.91,R,R,https://www.mlb.com/es/player/547989
650490,Yandy,Diaz,1B,2,Los Rays de Tampa Bay, 8/08/1991,31, 4/03/2017,97.52,1.88,R,R,https://www.mlb.com/es/player/650490
608324,Alex,Bregman,3B,2,Los Astros de Houston, 3/30/1994,29, 7/25/2016,87.09,1.83,R,R,https://www.mlb.com/es/player/608324
592663,J.T.,Realmuto,C,10,Los Phillies de Filadelfia, 3/18/1991,32, 6/05/2014,96.16,1.85,R,R,https://www.mlb.com/es/player/592663
665489,Vladimir,Guerrero,1B,27,Los Blue Jays de Toronto, 3/16/1999,24, 4/26/2019,111.13,1.88,R,R,https://www.mlb.com/es/player/665489
519203,Anthony,Rizzo,1B,48,Los Yankees de Nueva York, 8/08/1989,33, 6/09/2011,108.86,1.91,L,L,https://www.mlb.com/es/player/519203
516782,Starling,Marte,RF,6,Los Mets de Nueva York, 10/09/1988,34, 7/26/2012,88.45,1.85,R,R,https://www.mlb.com/es/player/516782
543807,George,Springer,RF,4,Los Blue Jays de Toronto, 9/19/1989,33, 4/16/2014,99.79,1.91,R,R,https://www.mlb.com/es/player/543807
592273,Brandon,Drury,2B,23,Los Angels de Los Angeles, 8/21/1992,30, 9/01/2015,104.33,1.88,R,R,https://www.mlb.com/es/player/592273
607208,Trea,Turner,SS,7,Los Phillies de Filadelfia, 6/30/1993,29, 8/21/2015,83.91,1.88,R,R,https://www.mlb.com/es/player/607208
669257,Will,Smith,C,16,Los Dodgers de Los Angeles, 3/28/1995,28, 5/28/2019,88.45,1.55,R,R,https://www.mlb.com/es/player/669257
663656,Kyle,Tucker,RF,30,Los Astros de Houston, 1/17/1997,26, 7/07/2018,90.26,1.93,L,R,https://www.mlb.com/es/player/663656
606192,Teoscar,Hernandez,RF,35,Los Mariners de Seattle, 10/15/1992,30, 8/12/2016,97.52,1.88,R,R,https://www.mlb.com/es/player/606192
592669,Hunter,Renfroe,RF,12,Los Angels de Los Angeles, 1/28/1992,31, 9/21/2016,104.33,1.85,R,R,https://www.mlb.com/es/player/592669
668804,Bryan,Reynolds,LF,10,Los Pirates de Pittsburgh, 1/27/1995,28, 4/20/2019,92.99,1.91,S,R,https://www.mlb.com/es/player/668804
572233,Christian,Walker,1B,53,Los D-Backs de Arizona, 3/28/1991,32, 9/17/2014,94.35,1.83,R,R,https://www.mlb.com/es/player/572233
666182,Bo,Bichette,SS,11,Los Blue Jays de Toronto, 3/05/1998,25, 7/29/2019,86.18,1.83,R,R,https://www.mlb.com/es/player/666182
621566,Matt,Olson,1B,28,Los Bravos de Atlanta, 3/29/1994,29, 9/12/2016,102.06,1.96,L,R,https://www.mlb.com/es/player/621566
607043,Brandon,Nimmo,CF,9,Los Mets de Nueva York, 3/27/1993,30, 6/26/2016,93.44,1.91,L,R,https://www.mlb.com/es/player/607043
650333,Luis,Arraez,2B,3,Los Marlins de Miami, 4/09/1997,26, 5/18/2019,79.38,1.55,L,R,https://www.mlb.com/es/player/650333
656555,Rhys,Hoskins,1B,17,Los Phillies de Filadelfia, 3/17/1993,30, 8/10/2017,111.13,1.93,R,R,https://www.mlb.com/es/player/656555
553993,Eugenio,Suarez,3B,28,Los Mariners de Seattle, 7/18/1991,31, 6/04/2014,96.62,1.55,R,R,https://www.mlb.com/es/player/553993
502110,J.D.,Martinez,DH,28,Los Dodgers de Los Angeles, 8/21/1987,35, 7/30/2011,104.33,1.91,R,R,https://www.mlb.com/es/player/502110
596019,Francisco,Lindor,SS,12,Los Mets de Nueva York, 11/14/1993,29, 6/14/2015,86.18,1.55,S,R,https://www.mlb.com/es/player/596019
457759,Justin,Turner,DH,2,Los Red Sox de Boston, 11/23/1984,38, 9/08/2009,91.63,1.55,R,R,https://www.mlb.com/es/player/457759
