id,Nombre,Apellido,Posicion,Dorsal,Equipo,Fecha Nac,Edad,Lugar_Nacimiento,F_Debut,Peso,Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Link_Ficha_Player
592450,Aaron,Judge,RF,99,Los Yankees de Nueva York,1992-04-26,31, CA,2016-08-13,282,2.01,R,R,https://www.mlb.com/es/player/592450
670541,Yordan,Alvarez,LF,44,Major League Baseball,1997-06-27,25, Cuba,2019-06-09,225,1.96,L,R,https://www.mlb.com/es/player/670541
502671,Paul,Goldschmidt,1B,46,Los Cardenales de San Luis,1987-09-10,35, DE,2011-08-01,220,1.91,R,R,https://www.mlb.com/es/player/502671
514888,Jose,Altuve,2B,27,Major League Baseball,1990-05-06,33, Venezuela,2011-07-20,166,1.68,R,R,https://www.mlb.com/es/player/514888
518692,Freddie,Freeman,1B,5,Los Dodgers de Los Angeles,1989-09-12,33, CA,2010-09-01,220,1.96,L,R,https://www.mlb.com/es/player/518692
592518,Manny,Machado,3B,13,Los Padres de San Diego,1992-07-06,30, FL,2012-08-09,218,1.91,R,R,https://www.mlb.com/es/player/592518
571448,Nolan,Arenado,3B,28,Los Cardenales de San Luis,1991-04-16,32, CA,2013-04-28,215,1.88,R,R,https://www.mlb.com/es/player/571448
646240,Rafael,Devers,3B,11,Los Red Sox de Boston,1996-10-24,26, Dominican Republic,2017-07-25,240,1.83,L,R,https://www.mlb.com/es/player/646240
663586,Austin,Riley,3B,27,Los Bravos de Atlanta,1997-04-02,26, TN,2019-05-15,240,1.91,R,R,https://www.mlb.com/es/player/663586
660271,Shohei,Ohtani,TWP,17,Los Angels de Los Angeles,1994-07-05,28, Japan,2018-03-29,210,1.93,L,R,https://www.mlb.com/es/player/660271
605141,Mookie,Betts,RF,50,Los Dodgers de Los Angeles,1992-10-07,30, TN,2014-06-29,180,1.75,R,R,https://www.mlb.com/es/player/605141
624413,Pete,Alonso,1B,20,Los Mets de Nueva York,1994-12-07,28, FL,2019-03-28,245,1.91,R,R,https://www.mlb.com/es/player/624413
608070,Jose,Ramirez,3B,11,Los Guardians de Cleveland,1992-09-17,30, Dominican Republic,2013-09-01,190,1.75,S,R,https://www.mlb.com/es/player/608070
677594,Julio,Rodriguez,CF,44,Los Mariners de Seattle,2000-12-29,22, Dominican Republic,2022-04-08,228,1.91,R,R,https://www.mlb.com/es/player/677594
665742,Juan,Soto,LF,22,Los Padres de San Diego,1998-10-25,24, Dominican Republic,2018-05-15,224,1.88,L,L,https://www.mlb.com/es/player/665742
663993,Nathaniel,Lowe,1B,30,Los Rangers de Texas,1995-07-07,27, VA,2019-04-29,220,1.93,L,R,https://www.mlb.com/es/player/663993
665926,Andres,Gimenez,2B,0,Los Guardians de Cleveland,1998-09-04,24, Venezuela,2020-07-24,161,1.55,L,R,https://www.mlb.com/es/player/665926
643446,Jeff,McNeil,2B,1,Los Mets de Nueva York,1992-04-08,31, CA,2018-07-24,195,1.85,L,R,https://www.mlb.com/es/player/643446
593428,Xander,Bogaerts,SS,2,Los Padres de San Diego,1992-10-01,30, Aruba,2013-08-20,218,1.88,R,R,https://www.mlb.com/es/player/593428
621043,Carlos,Correa,SS,4,Los Twins de Minnesota,1994-09-22,28, Puerto Rico,2015-06-08,220,1.93,R,R,https://www.mlb.com/es/player/621043
621493,Taylor,Ward,LF,3,Los Angels de Los Angeles,1993-12-14,29, OH,2018-08-14,200,1.85,R,R,https://www.mlb.com/es/player/621493
656941,Kyle,Schwarber,LF,12,Los Phillies de Filadelfia,1993-03-05,30, OH,2015-06-16,229,1.83,L,R,https://www.mlb.com/es/player/656941
