id,Nombre,Apellido,Team,Juegos_Jugados,Turnos_Bate,Carrera,Hits,Dobles,Triple,Jonrones,Carreras_Impulsadas,Boletos,Ponches,Bases_Robadas,Atrapado_Robando,Promedio,%_On_Base,Slugging
592450,Aaron,Judge,NYY,157,570,133,177,28,0,62,131,111,175,16,3,.311,.425,.686
670541,Yordan,Alvarez,HOU,135,470,95,144,29,2,37,97,78,106,1,1,.306,.406,.613
502671,Paul,Goldschmidt,STL,151,561,106,178,41,0,35,115,79,141,7,0,.317,.404,.578
514888,Jose,Altuve,HOU,141,527,103,158,39,0,28,57,66,87,18,1,.300,.387,.533
518692,Freddie,Freeman,LAD,159,612,117,199,47,2,21,100,84,102,13,3,.325,.407,.511
592518,Manny,Machado,SD,150,578,100,172,37,1,32,102,63,133,9,1,.298,.366,.531
571448,Nolan,Arenado,STL,148,557,73,163,42,1,30,103,52,72,5,3,.293,.358,.533
646240,Rafael,Devers,BOS,141,555,84,164,42,1,27,88,50,114,3,1,.295,.358,.521
663586,Austin,Riley,ATL,159,615,90,168,39,2,38,93,57,168,2,0,.273,.349,.528
660271,Shohei,Ohtani,LAA,157,586,90,160,30,6,34,95,72,161,11,9,.273,.356,.519
605141,Mookie,Betts,LAD,142,572,117,154,40,3,35,82,55,104,12,2,.269,.340,.533
624413,Pete,Alonso,NYM,160,597,95,162,27,0,40,131,67,128,5,1,.271,.352,.518
608070,Jose,Ramirez,CLE,157,601,90,168,44,5,29,126,69,82,20,7,.280,.355,.514
677594,Julio,Rodriguez,SEA,132,511,84,145,25,3,28,75,40,145,25,7,.284,.345,.509
665742,Juan,Soto,SD,153,524,93,127,25,2,27,62,135,96,6,2,.242,.401,.452
663993,Nathaniel,Lowe,TEX,157,593,74,179,26,3,27,76,48,147,2,2,.302,.358,.492
665926,Andres,Gimenez,CLE,146,491,66,146,26,3,17,69,34,112,20,3,.297,.371,.466
643446,Jeff,McNeil,NYM,148,533,73,174,39,1,9,62,40,61,4,0,.326,.382,.454
593428,Xander,Bogaerts,BOS,150,557,84,171,38,0,15,73,57,118,8,2,.307,.377,.456
621043,Carlos,Correa,MIN,136,522,70,152,24,1,22,64,61,121,0,1,.291,.366,.467
621493,Taylor,Ward,LAA,135,495,73,139,22,2,23,65,60,120,5,3,.281,.360,.473
656941,Kyle,Schwarber,PHI,155,577,100,126,21,3,46,94,86,200,10,1,.218,.323,.504
547989,Jose,Abreu,CWS,157,601,85,183,40,0,15,75,62,110,0,0,.304,.378,.446
650490,Yandy,Diaz,TB,137,473,71,140,33,0,9,57,78,60,3,3,.296,.401,.423
608324,Alex,Bregman,HOU,155,548,93,142,38,0,23,93,87,77,1,2,.259,.366,.454
592663,J.T.,Realmuto,PHI,139,504,75,139,26,5,22,84,41,119,21,1,.276,.342,.478
665489,Vladimir,Guerrero,TOR,160,638,90,175,35,0,32,97,58,116,8,3,.274,.339,.480
519203,Anthony,Rizzo,NYY,130,465,77,104,21,1,32,75,58,101,6,5,.224,.338,.480
516782,Starling,Marte,NYM,118,466,76,136,24,5,16,63,26,97,18,9,.292,.347,.468
543807,George,Springer,TOR,133,513,89,137,22,4,25,76,54,100,14,2,.267,.342,.472
592273,Brandon,Drury,SD,138,518,87,136,31,2,28,87,38,126,2,3,.263,.320,.492
607208,Trea,Turner,LAD,160,652,101,194,39,4,21,100,45,131,27,3,.298,.343,.466
669257,Will,Smith,LAD,137,508,68,132,26,3,24,87,56,96,1,0,.260,.343,.465
663656,Kyle,Tucker,HOU,150,544,71,140,28,1,30,107,59,95,25,4,.257,.330,.478
606192,Teoscar,Hernandez,TOR,131,499,71,133,35,1,25,77,34,152,6,3,.267,.316,.491
592669,Hunter,Renfroe,MIL,125,474,62,121,23,1,29,72,39,121,1,1,.255,.315,.492
668804,Bryan,Reynolds,PIT,145,542,74,142,19,4,27,62,56,141,7,3,.262,.345,.461
572233,Christian,Walker,AZ,160,583,84,141,25,2,36,94,69,131,2,2,.242,.327,.477
666182,Bo,Bichette,TOR,159,652,91,189,43,1,24,93,41,155,13,8,.290,.333,.469
621566,Matt,Olson,ATL,162,616,86,148,44,0,34,103,75,170,0,0,.240,.325,.477
607043,Brandon,Nimmo,NYM,151,580,102,159,30,7,16,64,71,116,3,2,.274,.367,.433
650333,Luis,Arraez,MIN,144,547,88,173,31,1,8,49,50,43,4,4,.316,.375,.420
656555,Rhys,Hoskins,PHI,156,589,81,145,33,2,30,79,72,169,2,1,.246,.332,.462
553993,Eugenio,Suarez,SEA,150,543,76,128,24,2,31,87,73,196,0,0,.236,.332,.459
502110,J.D.,Martinez,BOS,139,533,76,146,43,1,16,62,52,145,0,0,.274,.341,.448
596019,Francisco,Lindor,NYM,161,630,98,170,25,5,26,107,59,133,16,6,.270,.339,.449
457759,Justin,Turner,LAD,128,468,61,130,36,0,13,81,50,89,3,0,.278,.350,.438
672386,Alejandro,Kirk,TOR,139,470,59,134,19,0,14,63,63,58,0,0,.285,.372,.415
605137,Josh,Bell,SD,156,552,78,147,29,3,17,71,81,102,0,1,.266,.362,.422
543068,C.J.,Cron,COL,150,575,79,148,28,3,29,102,43,164,0,0,.257,.315,.468
664023,Ian,Happ,CHC,158,573,72,155,42,2,17,72,58,149,9,4,.271,.342,.440
621020,Dansby,Swanson,ATL,162,640,99,177,32,1,25,96,49,182,18,7,.277,.329,.447
664034,Ty,France,SEA,140,551,65,151,27,1,20,83,35,94,0,0,.274,.338,.436
